,0,1,2,3,4
400,33.4,42.0,56.9,56.2,44.6
401,42.0,56.9,56.2,44.6,43.9
402,56.9,56.2,44.6,43.9,52.0
403,56.2,44.6,43.9,52.0,62.4
404,44.6,43.9,52.0,62.4,91.0
405,43.9,52.0,62.4,91.0,131.1
406,52.0,62.4,91.0,131.1,153.2
407,62.4,91.0,131.1,153.2,128.1
408,91.0,131.1,153.2,128.1,136.7
409,131.1,153.2,128.1,136.7,148.2
410,153.2,128.1,136.7,148.2,133.6
411,128.1,136.7,148.2,133.6,120.3
412,136.7,148.2,133.6,120.3,128.4
413,148.2,133.6,120.3,128.4,126.4
414,133.6,120.3,128.4,126.4,96.9
415,120.3,128.4,126.4,96.9,79.0
416,128.4,126.4,96.9,79.0,80.4
417,126.4,96.9,79.0,80.4,79.3
418,96.9,79.0,80.4,79.3,78.3
419,79.0,80.4,79.3,78.3,81.1
420,80.4,79.3,78.3,81.1,81.4
421,79.3,78.3,81.1,81.4,94.7
422,78.3,81.1,81.4,94.7,81.4
423,81.1,81.4,94.7,81.4,79.5
424,81.4,94.7,81.4,79.5,75.3
425,94.7,81.4,79.5,75.3,69.7
426,81.4,79.5,75.3,69.7,51.5
427,79.5,75.3,69.7,51.5,45.2
428,75.3,69.7,51.5,45.2,50.3
429,69.7,51.5,45.2,50.3,
430,51.5,45.2,50.3,,44.0
431,45.2,50.3,,44.0,35.0
432,50.3,,44.0,35.0,35.3
433,,44.0,35.0,35.3,29.4
434,44.0,35.0,35.3,29.4,33.1
435,35.0,35.3,29.4,33.1,33.1
436,35.3,29.4,33.1,33.1,36.4
437,29.4,33.1,33.1,36.4,28.7
438,33.1,33.1,36.4,28.7,27.0
439,33.1,36.4,28.7,27.0,
440,36.4,28.7,27.0,,28.8
441,28.7,27.0,,28.8,29.4
442,27.0,,28.8,29.4,29.7
443,,28.8,29.4,29.7,24.4
444,28.8,29.4,29.7,24.4,24.4
445,29.4,29.7,24.4,24.4,26.7
446,29.7,24.4,24.4,26.7,27.0
447,24.4,24.4,26.7,27.0,25.8
448,24.4,26.7,27.0,25.8,27.9
449,26.7,27.0,25.8,27.9,25.3
450,27.0,25.8,27.9,25.3,22.2
451,25.8,27.9,25.3,22.2,26.9
452,27.9,25.3,22.2,26.9,25.6
453,25.3,22.2,26.9,25.6,21.3
454,22.2,26.9,25.6,21.3,23.5
455,26.9,25.6,21.3,23.5,23.9
456,25.6,21.3,23.5,23.9,26.4
457,21.3,23.5,23.9,26.4,26.2
458,23.5,23.9,26.4,26.2,24.2
459,23.9,26.4,26.2,24.2,24.6
460,26.4,26.2,24.2,24.6,28.7
461,26.2,24.2,24.6,28.7,29.5
462,24.2,24.6,28.7,29.5,31.5
463,24.6,28.7,29.5,31.5,30.6
464,28.7,29.5,31.5,30.6,34.9
465,29.5,31.5,30.6,34.9,43.0
466,31.5,30.6,34.9,43.0,50.9
467,30.6,34.9,43.0,50.9,69.6
468,34.9,43.0,50.9,69.6,69.2
469,43.0,50.9,69.6,69.2,
470,50.9,69.6,69.2,,
471,69.6,69.2,,,
472,69.2,,,,77.4
473,,,,77.4,78.6
474,,,77.4,78.6,74.3
475,,77.4,78.6,74.3,74.9
476,77.4,78.6,74.3,74.9,70.7
477,78.6,74.3,74.9,70.7,
478,74.3,74.9,70.7,,
479,74.9,70.7,,,
480,70.7,,,,45.2
481,,,,45.2,40.5
482,,,45.2,40.5,45.2
483,,45.2,40.5,45.2,41.0
484,45.2,40.5,45.2,41.0,40.2
485,40.5,45.2,41.0,40.2,37.7
486,45.2,41.0,40.2,37.7,35.0
487,41.0,40.2,37.7,35.0,39.7
488,40.2,37.7,35.0,39.7,36.4
489,37.7,35.0,39.7,36.4,37.5
490,35.0,39.7,36.4,37.5,34.8
491,39.7,36.4,37.5,34.8,39.1
492,36.4,37.5,34.8,39.1,45.4
493,37.5,34.8,39.1,45.4,36.1
494,34.8,39.1,45.4,36.1,38.0
495,39.1,45.4,36.1,38.0,37.1
496,45.4,36.1,38.0,37.1,42.7
497,36.1,38.0,37.1,42.7,
498,38.0,37.1,42.7,,54.1
499,37.1,42.7,,54.1,67.1
500,42.7,,54.1,67.1,75.4
501,,54.1,67.1,75.4,88.9
502,54.1,67.1,75.4,88.9,101.4
503,67.1,75.4,88.9,101.4,102.6
504,75.4,88.9,101.4,102.6,125.0
505,88.9,101.4,102.6,125.0,123.0
506,101.4,102.6,125.0,123.0,158.5
507,102.6,125.0,123.0,158.5,157.3
508,125.0,123.0,158.5,157.3,154.2
509,123.0,158.5,157.3,154.2,159.0
510,158.5,157.3,154.2,159.0,169.8
511,157.3,154.2,159.0,169.8,145.3
512,154.2,159.0,169.8,145.3,
513,159.0,169.8,145.3,,106.9
514,169.8,145.3,,106.9,104.9
515,145.3,,106.9,104.9,89.3
516,,106.9,104.9,89.3,76.2
517,106.9,104.9,89.3,76.2,68.5
518,104.9,89.3,76.2,68.5,67.9
519,89.3,76.2,68.5,67.9,70.6
520,76.2,68.5,67.9,70.6,59.1
521,68.5,67.9,70.6,59.1,50.8
522,67.9,70.6,59.1,50.8,55.3
523,70.6,59.1,50.8,55.3,57.4
524,59.1,50.8,55.3,57.4,43.7
525,50.8,55.3,57.4,43.7,
526,55.3,57.4,43.7,,39.5
527,57.4,43.7,,39.5,33.8
528,43.7,,39.5,33.8,22.8
529,,39.5,33.8,22.8,24.9
530,39.5,33.8,22.8,24.9,24.5
531,33.8,22.8,24.9,24.5,24.5
532,22.8,24.9,24.5,24.5,25.0
533,24.9,24.5,24.5,25.0,26.6
534,24.5,24.5,25.0,26.6,22.3
535,24.5,25.0,26.6,22.3,20.5
536,25.0,26.6,22.3,20.5,22.2
537,26.6,22.3,20.5,22.2,17.1
538,22.3,20.5,22.2,17.1,19.9
539,20.5,22.2,17.1,19.9,22.9
540,22.2,17.1,19.9,22.9,20.4
541,17.1,19.9,22.9,20.4,20.5
542,19.9,22.9,20.4,20.5,20.4
543,22.9,20.4,20.5,20.4,21.8
544,20.4,20.5,20.4,21.8,20.2
545,20.5,20.4,21.8,20.2,21.2
546,20.4,21.8,20.2,21.2,29.2
547,21.8,20.2,21.2,29.2,22.0
548,20.2,21.2,29.2,22.0,23.7
549,21.2,29.2,22.0,23.7,22.3
550,29.2,22.0,23.7,22.3,21.2
551,22.0,23.7,22.3,21.2,19.9
552,23.7,22.3,21.2,19.9,23.3
553,22.3,21.2,19.9,23.3,23.6
554,21.2,19.9,23.3,23.6,24.2
555,19.9,23.3,23.6,24.2,27.0
556,23.3,23.6,24.2,27.0,26.4
557,23.6,24.2,27.0,26.4,29.7
558,24.2,27.0,26.4,29.7,28.5
559,27.0,26.4,29.7,28.5,32.9
560,26.4,29.7,28.5,32.9,29.3
561,29.7,28.5,32.9,29.3,29.3
562,28.5,32.9,29.3,29.3,34.1
563,32.9,29.3,29.3,34.1,35.7
564,29.3,29.3,34.1,35.7,32.2
565,29.3,34.1,35.7,32.2,
566,34.1,35.7,32.2,,
567,35.7,32.2,,,
568,32.2,,,,35.6
569,,,,35.6,38.9
570,,,35.6,38.9,35.4
571,,35.6,38.9,35.4,37.0
572,35.6,38.9,35.4,37.0,39.4
573,38.9,35.4,37.0,39.4,
574,35.4,37.0,39.4,,
575,37.0,39.4,,,
576,39.4,,,,313.9
577,,,,313.9,357.6
578,,,313.9,357.6,191.3
579,,313.9,357.6,191.3,23.3
580,313.9,357.6,191.3,23.3,37.9
581,357.6,191.3,23.3,37.9,36.6
582,191.3,23.3,37.9,36.6,40.5
583,23.3,37.9,36.6,40.5,42.1
584,37.9,36.6,40.5,42.1,38.5
585,36.6,40.5,42.1,38.5,39.0
586,40.5,42.1,38.5,39.0,37.1
587,42.1,38.5,39.0,37.1,36.0
588,38.5,39.0,37.1,36.0,
589,39.0,37.1,36.0,,34.9
590,37.1,36.0,,34.9,33.9
591,36.0,,34.9,33.9,33.5
592,,34.9,33.9,33.5,35.2
593,34.9,33.9,33.5,35.2,38.0
594,33.9,33.5,35.2,38.0,49.5
595,33.5,35.2,38.0,49.5,64.9
596,35.2,38.0,49.5,64.9,67.7
597,38.0,49.5,64.9,67.7,86.6
598,49.5,64.9,67.7,86.6,
599,64.9,67.7,86.6,,149.2
600,67.7,86.6,,149.2,
601,86.6,,149.2,,182.1
602,,149.2,,182.1,162.4
603,149.2,,182.1,162.4,189.8
604,,182.1,162.4,189.8,308.3
605,182.1,162.4,189.8,308.3,263.8
606,162.4,189.8,308.3,263.8,228.9
607,189.8,308.3,263.8,228.9,258.5
608,308.3,263.8,228.9,258.5,303.9
609,263.8,228.9,258.5,303.9,291.3
610,228.9,258.5,303.9,291.3,313.9
611,258.5,303.9,291.3,313.9,230.0
612,303.9,291.3,313.9,230.0,122.2
613,291.3,313.9,230.0,122.2,89.0
614,313.9,230.0,122.2,89.0,66.6
615,230.0,122.2,89.0,66.6,58.9
616,122.2,89.0,66.6,58.9,47.0
617,89.0,66.6,58.9,47.0,46.0
618,66.6,58.9,47.0,46.0,43.0
619,58.9,47.0,46.0,43.0,39.5
620,47.0,46.0,43.0,39.5,37.7
621,46.0,43.0,39.5,37.7,
622,43.0,39.5,37.7,,
623,39.5,37.7,,,28.5
624,37.7,,,28.5,28.6
625,,,28.5,28.6,28.2
626,,28.5,28.6,28.2,26.2
627,28.5,28.6,28.2,26.2,23.9
628,28.6,28.2,26.2,23.9,24.6
629,28.2,26.2,23.9,24.6,26.2
630,26.2,23.9,24.6,26.2,25.1
631,23.9,24.6,26.2,25.1,25.8
632,24.6,26.2,25.1,25.8,26.9
633,26.2,25.1,25.8,26.9,29.6
634,25.1,25.8,26.9,29.6,30.4
635,25.8,26.9,29.6,30.4,30.6
636,26.9,29.6,30.4,30.6,29.9
637,29.6,30.4,30.6,29.9,25.2
638,30.4,30.6,29.9,25.2,21.9
639,30.6,29.9,25.2,21.9,23.5
640,29.9,25.2,21.9,23.5,22.4
641,25.2,21.9,23.5,22.4,23.5
642,21.9,23.5,22.4,23.5,23.2
643,23.5,22.4,23.5,23.2,19.9
644,22.4,23.5,23.2,19.9,26.3
645,23.5,23.2,19.9,26.3,32.6
646,23.2,19.9,26.3,32.6,33.3
647,19.9,26.3,32.6,33.3,26.5
648,26.3,32.6,33.3,26.5,27.4
649,32.6,33.3,26.5,27.4,26.4
650,33.3,26.5,27.4,26.4,30.7
651,26.5,27.4,26.4,30.7,28.4
652,27.4,26.4,30.7,28.4,33.2
653,26.4,30.7,28.4,33.2,30.9
654,30.7,28.4,33.2,30.9,33.5
655,28.4,33.2,30.9,33.5,43.5
656,33.2,30.9,33.5,43.5,43.8
657,30.9,33.5,43.5,43.8,46.6
658,33.5,43.5,43.8,46.6,52.5
659,43.5,43.8,46.6,52.5,45.3
660,43.8,46.6,52.5,45.3,48.9
661,46.6,52.5,45.3,48.9,
662,52.5,45.3,48.9,,
663,45.3,48.9,,,
664,48.9,,,,49.6
665,,,,49.6,55.5
666,,,49.6,55.5,50.6
667,,49.6,55.5,50.6,47.9
668,49.6,55.5,50.6,47.9,42.9
669,55.5,50.6,47.9,42.9,
670,50.6,47.9,42.9,,
671,47.9,42.9,,,
672,42.9,,,,314.6
673,,,,314.6,267.5
674,,,314.6,267.5,59.7
675,,314.6,267.5,59.7,54.7
676,314.6,267.5,59.7,54.7,50.3
677,267.5,59.7,54.7,50.3,51.0
678,59.7,54.7,50.3,51.0,51.0
679,54.7,50.3,51.0,51.0,56.1
680,50.3,51.0,51.0,56.1,52.0
681,51.0,51.0,56.1,52.0,48.0
682,51.0,56.1,52.0,48.0,45.5
683,56.1,52.0,48.0,45.5,
684,52.0,48.0,45.5,,51.9
685,48.0,45.5,,51.9,46.6
686,45.5,,51.9,46.6,52.6
687,,51.9,46.6,52.6,47.4
688,51.9,46.6,52.6,47.4,
689,46.6,52.6,47.4,,47.6
690,52.6,47.4,,47.6,56.6
691,47.4,,47.6,56.6,59.9
692,,47.6,56.6,59.9,51.9
693,47.6,56.6,59.9,51.9,55.2
694,56.6,59.9,51.9,55.2,53.9
695,59.9,51.9,55.2,53.9,62.9
696,51.9,55.2,53.9,62.9,55.7
697,55.2,53.9,62.9,55.7,61.6
698,53.9,62.9,55.7,61.6,50.3
699,62.9,55.7,61.6,50.3,47.5
700,55.7,61.6,50.3,47.5,50.7
701,61.6,50.3,47.5,50.7,51.2
702,50.3,47.5,50.7,51.2,45.2
703,47.5,50.7,51.2,45.2,45.2
704,50.7,51.2,45.2,45.2,38.5
705,51.2,45.2,45.2,38.5,44.8
706,45.2,45.2,38.5,44.8,43.5
707,45.2,38.5,44.8,43.5,45.5
708,38.5,44.8,43.5,45.5,41.4
709,44.8,43.5,45.5,41.4,37.5
710,43.5,45.5,41.4,37.5,35.2
711,45.5,41.4,37.5,35.2,28.7
712,41.4,37.5,35.2,28.7,31.5
713,37.5,35.2,28.7,31.5,27.6
714,35.2,28.7,31.5,27.6,28.7
715,28.7,31.5,27.6,28.7,23.5
716,31.5,27.6,28.7,23.5,24.7
717,27.6,28.7,23.5,24.7,
718,28.7,23.5,24.7,,19.6
719,23.5,24.7,,19.6,20.2
720,24.7,,19.6,20.2,18.9
721,,19.6,20.2,18.9,19.6
722,19.6,20.2,18.9,19.6,20.2
723,20.2,18.9,19.6,20.2,21.7
724,18.9,19.6,20.2,21.7,23.8
725,19.6,20.2,21.7,23.8,
726,20.2,21.7,23.8,,27.4
727,21.7,23.8,,27.4,29.1
728,23.8,,27.4,29.1,31.4
729,,27.4,29.1,31.4,28.6
730,27.4,29.1,31.4,28.6,23.4
731,29.1,31.4,28.6,23.4,23.7
732,31.4,28.6,23.4,23.7,20.7
733,28.6,23.4,23.7,20.7,17.8
734,23.4,23.7,20.7,17.8,18.8
735,23.7,20.7,17.8,18.8,15.7
736,20.7,17.8,18.8,15.7,18.1
737,17.8,18.8,15.7,18.1,16.5
738,18.8,15.7,18.1,16.5,16.2
739,15.7,18.1,16.5,16.2,15.5
740,18.1,16.5,16.2,15.5,18.9
741,16.5,16.2,15.5,18.9,18.2
742,16.2,15.5,18.9,18.2,17.6
743,15.5,18.9,18.2,17.6,19.5
744,18.9,18.2,17.6,19.5,18.7
745,18.2,17.6,19.5,18.7,20.3
746,17.6,19.5,18.7,20.3,19.6
747,19.5,18.7,20.3,19.6,19.2
748,18.7,20.3,19.6,19.2,21.9
749,20.3,19.6,19.2,21.9,21.0
750,19.6,19.2,21.9,21.0,21.6
751,19.2,21.9,21.0,21.6,26.4
752,21.9,21.0,21.6,26.4,26.2
753,21.0,21.6,26.4,26.2,27.2
754,21.6,26.4,26.2,27.2,24.4
755,26.4,26.2,27.2,24.4,25.4
756,26.2,27.2,24.4,25.4,23.2
757,27.2,24.4,25.4,23.2,
758,24.4,25.4,23.2,,
759,25.4,23.2,,,
760,23.2,,,,36.0
761,,,,36.0,35.8
762,,,36.0,35.8,35.1
763,,36.0,35.8,35.1,38.4
764,36.0,35.8,35.1,38.4,36.8
765,35.8,35.1,38.4,36.8,
766,35.1,38.4,36.8,,
767,38.4,36.8,,,
768,36.8,,,,347.1
769,,,,347.1,382.0
770,,,347.1,382.0,209.7
771,,347.1,382.0,209.7,39.4
772,347.1,382.0,209.7,39.4,40.8
773,382.0,209.7,39.4,40.8,39.8
774,209.7,39.4,40.8,39.8,35.8
775,39.4,40.8,39.8,35.8,36.2
776,40.8,39.8,35.8,36.2,36.0
777,39.8,35.8,36.2,36.0,43.3
778,35.8,36.2,36.0,43.3,39.7
779,36.2,36.0,43.3,39.7,43.8
780,36.0,43.3,39.7,43.8,
781,43.3,39.7,43.8,,44.6
782,39.7,43.8,,44.6,46.1
783,43.8,,44.6,46.1,46.6
784,,44.6,46.1,46.6,51.1
785,44.6,46.1,46.6,51.1,51.5
786,46.1,46.6,51.1,51.5,52.8
787,46.6,51.1,51.5,52.8,66.1
788,51.1,51.5,52.8,66.1,62.4
