"","X","X0","X1","X5"
"1",1599,"15-01-2021 11:30","15-01-2021 11:45","None"
"2",1600,"15-01-2021 11:45","15-01-2021 12:00","None"
"3",1601,"15-01-2021 12:00","15-01-2021 12:15","None"
"4",1602,"15-01-2021 12:15","15-01-2021 12:30","57.6"
"5",1603,"15-01-2021 12:30","15-01-2021 12:45","39.5"
"6",1604,"15-01-2021 12:45","15-01-2021 13:00","45.9"
"7",1605,"15-01-2021 13:00","15-01-2021 13:15","None"
"8",1606,"15-01-2021 13:15","15-01-2021 13:30","42.4"
"9",1607,"15-01-2021 13:30","15-01-2021 13:45","35.8"
"10",1608,"15-01-2021 13:45","15-01-2021 14:00","37.6"
"11",1609,"15-01-2021 14:00","15-01-2021 14:15","32.8"
"12",1610,"15-01-2021 14:15","15-01-2021 14:30","37.5"
"13",1611,"15-01-2021 14:30","15-01-2021 14:45","None"
"14",1612,"15-01-2021 14:45","15-01-2021 15:00","38"
"15",1613,"15-01-2021 15:00","15-01-2021 15:15","39.6"
"16",1614,"15-01-2021 15:15","15-01-2021 15:30","40.8"
"17",1615,"15-01-2021 15:30","15-01-2021 15:45","44"
"18",1616,"15-01-2021 15:45","15-01-2021 16:00","37.8"
"19",1617,"15-01-2021 16:00","15-01-2021 16:15","56.6"
"20",1618,"15-01-2021 16:15","15-01-2021 16:30","46.4"
"21",1619,"15-01-2021 16:30","15-01-2021 16:45","38.6"
"22",1620,"15-01-2021 16:45","15-01-2021 17:00","50.8"
"23",1621,"15-01-2021 17:00","15-01-2021 17:15","51.5"
"24",1622,"15-01-2021 17:15","15-01-2021 17:30","77.1"
"25",1623,"15-01-2021 17:30","15-01-2021 17:45","112.8"
"26",1624,"15-01-2021 17:45","15-01-2021 18:00","150.8"
"27",1625,"15-01-2021 18:00","15-01-2021 18:15","144.1"
"28",1626,"15-01-2021 18:15","15-01-2021 18:30","148"
"29",1627,"15-01-2021 18:30","15-01-2021 18:45","132.2"
"30",1628,"15-01-2021 18:45","15-01-2021 19:00","None"
"31",1629,"15-01-2021 19:00","15-01-2021 19:15","326.5"
"32",1630,"15-01-2021 19:15","15-01-2021 19:30","280.1"
"33",1631,"15-01-2021 19:30","15-01-2021 19:45","276.4"
"34",1632,"15-01-2021 19:45","15-01-2021 20:00","326.4"
"35",1633,"15-01-2021 20:00","15-01-2021 20:15","None"
"36",1634,"15-01-2021 20:15","15-01-2021 20:30","287.3"
"37",1635,"15-01-2021 20:30","15-01-2021 20:45","381.9"
"38",1636,"15-01-2021 20:45","15-01-2021 21:00","452.5"
"39",1637,"15-01-2021 21:00","15-01-2021 21:15","483"
"40",1638,"15-01-2021 21:15","15-01-2021 21:30","None"
"41",1639,"15-01-2021 21:30","15-01-2021 21:45","None"
"42",1640,"15-01-2021 21:45","15-01-2021 22:00","443.5"
"43",1641,"15-01-2021 22:00","15-01-2021 22:15","460.8"
"44",1642,"15-01-2021 22:15","15-01-2021 22:30","450.9"
"45",1643,"15-01-2021 22:30","15-01-2021 22:45","445.8"
"46",1644,"15-01-2021 22:45","15-01-2021 23:00","409.9"
"47",1645,"15-01-2021 23:00","15-01-2021 23:15","405.8"
"48",1646,"15-01-2021 23:15","15-01-2021 23:30","398.4"
"49",1647,"15-01-2021 23:30","15-01-2021 23:45","None"
"50",1648,"15-01-2021 23:45","16-01-2021 00:00","None"
"51",1649,"16-01-2021 00:00","16-01-2021 00:15","378.4"
"52",1650,"16-01-2021 00:15","16-01-2021 00:30","368.8"
"53",1651,"16-01-2021 00:30","16-01-2021 00:45","None"
"54",1652,"16-01-2021 00:45","16-01-2021 01:00","366.1"
"55",1653,"16-01-2021 01:00","16-01-2021 01:15","335.9"
"56",1654,"16-01-2021 01:15","16-01-2021 01:30","None"
"57",1655,"16-01-2021 01:30","16-01-2021 01:45","293.6"
"58",1656,"16-01-2021 01:45","16-01-2021 02:00","288.1"
"59",1657,"16-01-2021 02:00","16-01-2021 02:15","322.8"
"60",1658,"16-01-2021 02:15","16-01-2021 02:30","367.5"
"61",1659,"16-01-2021 02:30","16-01-2021 02:45","339.4"
"62",1660,"16-01-2021 02:45","16-01-2021 03:00","274.2"
"63",1661,"16-01-2021 03:00","16-01-2021 03:15","None"
"64",1662,"16-01-2021 03:15","16-01-2021 03:30","203.7"
"65",1663,"16-01-2021 03:30","16-01-2021 03:45","230.9"
"66",1664,"16-01-2021 03:45","16-01-2021 04:00","182.8"
"67",1665,"16-01-2021 04:00","16-01-2021 04:15","113.9"
"68",1666,"16-01-2021 04:15","16-01-2021 04:30","96"
"69",1667,"16-01-2021 04:30","16-01-2021 04:45","92.8"
"70",1668,"16-01-2021 04:45","16-01-2021 05:00","84.5"
"71",1669,"16-01-2021 05:00","16-01-2021 05:15","52"
"72",1670,"16-01-2021 05:15","16-01-2021 05:30","42.2"
"73",1671,"16-01-2021 05:30","16-01-2021 05:45","34.5"
"74",1672,"16-01-2021 05:45","16-01-2021 06:00","None"
"75",1673,"16-01-2021 06:00","16-01-2021 06:15","37.3"
"76",1674,"16-01-2021 06:15","16-01-2021 06:30","41"
"77",1675,"16-01-2021 06:30","16-01-2021 06:45","39.7"
"78",1676,"16-01-2021 06:45","16-01-2021 07:00","40.2"
"79",1677,"16-01-2021 07:00","16-01-2021 07:15","39.8"
"80",1678,"16-01-2021 07:15","16-01-2021 07:30","41.8"
"81",1679,"16-01-2021 07:30","16-01-2021 07:45","46.5"
"82",1680,"16-01-2021 07:45","16-01-2021 08:00","46"
"83",1681,"16-01-2021 08:00","16-01-2021 08:15","49.6"
"84",1682,"16-01-2021 08:15","16-01-2021 08:30","52.7"
"85",1683,"16-01-2021 08:30","16-01-2021 08:45","51.4"
"86",1684,"16-01-2021 08:45","16-01-2021 09:00","51.6"
"87",1685,"16-01-2021 09:00","16-01-2021 09:15","57.7"
"88",1686,"16-01-2021 09:15","16-01-2021 09:30","70.2"
"89",1687,"16-01-2021 09:30","16-01-2021 09:45","None"
"90",1688,"16-01-2021 09:45","16-01-2021 10:00","None"
"91",1689,"16-01-2021 10:00","16-01-2021 10:15","None"
"92",1690,"16-01-2021 10:15","16-01-2021 10:30","73.1"
"93",1691,"16-01-2021 10:30","16-01-2021 10:45","84.3"
"94",1692,"16-01-2021 10:45","16-01-2021 11:00","89.1"
"95",1693,"16-01-2021 11:00","16-01-2021 11:15","80.5"
"96",1694,"16-01-2021 11:15","16-01-2021 11:30","72.8"
"97",1695,"16-01-2021 11:30","16-01-2021 11:45","None"
"98",1696,"16-01-2021 11:45","16-01-2021 12:00","None"
"99",1697,"16-01-2021 12:00","16-01-2021 12:15","None"
"100",1698,"16-01-2021 12:15","16-01-2021 12:30","317.2"
"101",1699,"16-01-2021 12:30","16-01-2021 12:45","282.8"
"102",1700,"16-01-2021 12:45","16-01-2021 13:00","14.2"
"103",1701,"16-01-2021 13:00","16-01-2021 13:15","59.9"
"104",1702,"16-01-2021 13:15","16-01-2021 13:30","61.1"
"105",1703,"16-01-2021 13:30","16-01-2021 13:45","60.1"
"106",1704,"16-01-2021 13:45","16-01-2021 14:00","54.7"
"107",1705,"16-01-2021 14:00","16-01-2021 14:15","47.4"
"108",1706,"16-01-2021 14:15","16-01-2021 14:30","46.8"
"109",1707,"16-01-2021 14:30","16-01-2021 14:45","38.4"
"110",1708,"16-01-2021 14:45","16-01-2021 15:00","44.3"
"111",1709,"16-01-2021 15:00","16-01-2021 15:15","39"
"112",1710,"16-01-2021 15:15","16-01-2021 15:30","None"
"113",1711,"16-01-2021 15:30","16-01-2021 15:45","47.6"
"114",1712,"16-01-2021 15:45","16-01-2021 16:00","37.2"
"115",1713,"16-01-2021 16:00","16-01-2021 16:15","50"
"116",1714,"16-01-2021 16:15","16-01-2021 16:30","52.7"
"117",1715,"16-01-2021 16:30","16-01-2021 16:45","43"
"118",1716,"16-01-2021 16:45","16-01-2021 17:00","58.1"
"119",1717,"16-01-2021 17:00","16-01-2021 17:15","77.6"
"120",1718,"16-01-2021 17:15","16-01-2021 17:30","125.3"
"121",1719,"16-01-2021 17:30","16-01-2021 17:45","213.4"
"122",1720,"16-01-2021 17:45","16-01-2021 18:00","None"
"123",1721,"16-01-2021 18:00","16-01-2021 18:15","266.6"
"124",1722,"16-01-2021 18:15","16-01-2021 18:30","316.3"
"125",1723,"16-01-2021 18:30","16-01-2021 18:45","275.3"
"126",1724,"16-01-2021 18:45","16-01-2021 19:00","294.6"
"127",1725,"16-01-2021 19:00","16-01-2021 19:15","353.9"
"128",1726,"16-01-2021 19:15","16-01-2021 19:30","378.9"
"129",1727,"16-01-2021 19:30","16-01-2021 19:45","298.6"
"130",1728,"16-01-2021 19:45","16-01-2021 20:00","315"
"131",1729,"16-01-2021 20:00","16-01-2021 20:15","312.5"
"132",1730,"16-01-2021 20:15","16-01-2021 20:30","221.2"
"133",1731,"16-01-2021 20:30","16-01-2021 20:45","167.1"
"134",1732,"16-01-2021 20:45","16-01-2021 21:00","162.8"
"135",1733,"16-01-2021 21:00","16-01-2021 21:15","226.9"
"136",1734,"16-01-2021 21:15","16-01-2021 21:30","220.6"
"137",1735,"16-01-2021 21:30","16-01-2021 21:45","240.9"
"138",1736,"16-01-2021 21:45","16-01-2021 22:00","None"
"139",1737,"16-01-2021 22:00","16-01-2021 22:15","128"
"140",1738,"16-01-2021 22:15","16-01-2021 22:30","137.2"
"141",1739,"16-01-2021 22:30","16-01-2021 22:45","165.4"
"142",1740,"16-01-2021 22:45","16-01-2021 23:00","132.5"
"143",1741,"16-01-2021 23:00","16-01-2021 23:15","92.8"
"144",1742,"16-01-2021 23:15","16-01-2021 23:30","68.3"
"145",1743,"16-01-2021 23:30","16-01-2021 23:45","None"
"146",1744,"16-01-2021 23:45","17-01-2021 00:00","55.5"
"147",1745,"17-01-2021 00:00","17-01-2021 00:15","47"
"148",1746,"17-01-2021 00:15","17-01-2021 00:30","46"
"149",1747,"17-01-2021 00:30","17-01-2021 00:45","47.5"
"150",1748,"17-01-2021 00:45","17-01-2021 01:00","37.6"
"151",1749,"17-01-2021 01:00","17-01-2021 01:15","34.2"
"152",1750,"17-01-2021 01:15","17-01-2021 01:30","35.8"
"153",1751,"17-01-2021 01:30","17-01-2021 01:45","30"
"154",1752,"17-01-2021 01:45","17-01-2021 02:00","33.8"
"155",1753,"17-01-2021 02:00","17-01-2021 02:15","32"
"156",1754,"17-01-2021 02:15","17-01-2021 02:30","38"
"157",1755,"17-01-2021 02:30","17-01-2021 02:45","33.7"
"158",1756,"17-01-2021 02:45","17-01-2021 03:00","32.4"
"159",1757,"17-01-2021 03:00","17-01-2021 03:15","30.2"
"160",1758,"17-01-2021 03:15","17-01-2021 03:30","24"
"161",1759,"17-01-2021 03:30","17-01-2021 03:45","25.3"
"162",1760,"17-01-2021 03:45","17-01-2021 04:00","27.2"
"163",1761,"17-01-2021 04:00","17-01-2021 04:15","25.1"
"164",1762,"17-01-2021 04:15","17-01-2021 04:30","None"
"165",1763,"17-01-2021 04:30","17-01-2021 04:45","18.6"
"166",1764,"17-01-2021 04:45","17-01-2021 05:00","21.9"
"167",1765,"17-01-2021 05:00","17-01-2021 05:15","19.4"
"168",1766,"17-01-2021 05:15","17-01-2021 05:30","18.9"
"169",1767,"17-01-2021 05:30","17-01-2021 05:45","14.9"
"170",1768,"17-01-2021 05:45","17-01-2021 06:00","19"
"171",1769,"17-01-2021 06:00","17-01-2021 06:15","18.4"
"172",1770,"17-01-2021 06:15","17-01-2021 06:30","19.1"
"173",1771,"17-01-2021 06:30","17-01-2021 06:45","21.9"
"174",1772,"17-01-2021 06:45","17-01-2021 07:00","15.4"
"175",1773,"17-01-2021 07:00","17-01-2021 07:15","22.4"
"176",1774,"17-01-2021 07:15","17-01-2021 07:30","24"
"177",1775,"17-01-2021 07:30","17-01-2021 07:45","22.5"
"178",1776,"17-01-2021 07:45","17-01-2021 08:00","26"
"179",1777,"17-01-2021 08:00","17-01-2021 08:15","24.5"
"180",1778,"17-01-2021 08:15","17-01-2021 08:30","25"
"181",1779,"17-01-2021 08:30","17-01-2021 08:45","27.6"
"182",1780,"17-01-2021 08:45","17-01-2021 09:00","28.1"
"183",1781,"17-01-2021 09:00","17-01-2021 09:15","28.6"
"184",1782,"17-01-2021 09:15","17-01-2021 09:30","28.9"
"185",1783,"17-01-2021 09:30","17-01-2021 09:45","None"
"186",1784,"17-01-2021 09:45","17-01-2021 10:00","None"
"187",1785,"17-01-2021 10:00","17-01-2021 10:15","None"
"188",1786,"17-01-2021 10:15","17-01-2021 10:30","29"
"189",1787,"17-01-2021 10:30","17-01-2021 10:45","33.9"
"190",1788,"17-01-2021 10:45","17-01-2021 11:00","35.1"
"191",1789,"17-01-2021 11:00","17-01-2021 11:15","43.2"
"192",1790,"17-01-2021 11:15","17-01-2021 11:30","38.9"
"193",1791,"17-01-2021 11:30","17-01-2021 11:45","None"
"194",1792,"17-01-2021 11:45","17-01-2021 12:00","None"
"195",1793,"17-01-2021 12:00","17-01-2021 12:15","None"
"196",1794,"17-01-2021 12:15","17-01-2021 12:30","35.3"
"197",1795,"17-01-2021 12:30","17-01-2021 12:45","32"
"198",1796,"17-01-2021 12:45","17-01-2021 13:00","None"
"199",1797,"17-01-2021 13:00","17-01-2021 13:15","28"
"200",1798,"17-01-2021 13:15","17-01-2021 13:30","29.7"
"201",1799,"17-01-2021 13:30","17-01-2021 13:45","32.3"
"202",1800,"17-01-2021 13:45","17-01-2021 14:00","29.4"
"203",1801,"17-01-2021 14:00","17-01-2021 14:15","28.6"
"204",1802,"17-01-2021 14:15","17-01-2021 14:30","31.1"
"205",1803,"17-01-2021 14:30","17-01-2021 14:45","31.3"
"206",1804,"17-01-2021 14:45","17-01-2021 15:00","34.6"
"207",1805,"17-01-2021 15:00","17-01-2021 15:15","31.8"
"208",1806,"17-01-2021 15:15","17-01-2021 15:30","32.2"
"209",1807,"17-01-2021 15:30","17-01-2021 15:45","30.5"
"210",1808,"17-01-2021 15:45","17-01-2021 16:00","34.5"
"211",1809,"17-01-2021 16:00","17-01-2021 16:15","39.3"
"212",1810,"17-01-2021 16:15","17-01-2021 16:30","38"
"213",1811,"17-01-2021 16:30","17-01-2021 16:45","41.9"
"214",1812,"17-01-2021 16:45","17-01-2021 17:00","43.1"
"215",1813,"17-01-2021 17:00","17-01-2021 17:15","45"
"216",1814,"17-01-2021 17:15","17-01-2021 17:30","46"
"217",1815,"17-01-2021 17:30","17-01-2021 17:45","62.2"
"218",1816,"17-01-2021 17:45","17-01-2021 18:00","70.5"
"219",1817,"17-01-2021 18:00","17-01-2021 18:15","77.1"
"220",1818,"17-01-2021 18:15","17-01-2021 18:30","88"
"221",1819,"17-01-2021 18:30","17-01-2021 18:45","82.2"
"222",1820,"17-01-2021 18:45","17-01-2021 19:00","87"
"223",1821,"17-01-2021 19:00","17-01-2021 19:15","99.7"
"224",1822,"17-01-2021 19:15","17-01-2021 19:30","88.6"
"225",1823,"17-01-2021 19:30","17-01-2021 19:45","108.9"
"226",1824,"17-01-2021 19:45","17-01-2021 20:00","113.7"
"227",1825,"17-01-2021 20:00","17-01-2021 20:15","90.9"
"228",1826,"17-01-2021 20:15","17-01-2021 20:30","81.6"
"229",1827,"17-01-2021 20:30","17-01-2021 20:45","76.6"
"230",1828,"17-01-2021 20:45","17-01-2021 21:00","92.9"
"231",1829,"17-01-2021 21:00","17-01-2021 21:15","91.2"
"232",1830,"17-01-2021 21:15","17-01-2021 21:30","76.5"
"233",1831,"17-01-2021 21:30","17-01-2021 21:45","76.8"
"234",1832,"17-01-2021 21:45","17-01-2021 22:00","70.5"
"235",1833,"17-01-2021 22:00","17-01-2021 22:15","65.1"
"236",1834,"17-01-2021 22:15","17-01-2021 22:30","56.6"
"237",1835,"17-01-2021 22:30","17-01-2021 22:45","62.3"
"238",1836,"17-01-2021 22:45","17-01-2021 23:00","75.7"
"239",1837,"17-01-2021 23:00","17-01-2021 23:15","78.5"
"240",1838,"17-01-2021 23:15","17-01-2021 23:30","None"
"241",1839,"17-01-2021 23:30","17-01-2021 23:45","None"
"242",1840,"17-01-2021 23:45","18-01-2021 00:00","None"
"243",1841,"18-01-2021 00:00","18-01-2021 00:15","69.6"
"244",1842,"18-01-2021 00:15","18-01-2021 00:30","64.2"
"245",1843,"18-01-2021 00:30","18-01-2021 00:45","54.2"
"246",1844,"18-01-2021 00:45","18-01-2021 01:00","45.5"
"247",1845,"18-01-2021 01:00","18-01-2021 01:15","37.1"
"248",1846,"18-01-2021 01:15","18-01-2021 01:30","None"
"249",1847,"18-01-2021 01:30","18-01-2021 01:45","28.1"
"250",1848,"18-01-2021 01:45","18-01-2021 02:00","26.3"
"251",1849,"18-01-2021 02:00","18-01-2021 02:15","23.7"
"252",1850,"18-01-2021 02:15","18-01-2021 02:30","22.5"
"253",1851,"18-01-2021 02:30","18-01-2021 02:45","22.2"
"254",1852,"18-01-2021 02:45","18-01-2021 03:00","22.7"
"255",1853,"18-01-2021 03:00","18-01-2021 03:15","22"
"256",1854,"18-01-2021 03:15","18-01-2021 03:30","None"
"257",1855,"18-01-2021 03:30","18-01-2021 03:45","25.7"
"258",1856,"18-01-2021 03:45","18-01-2021 04:00","25.5"
"259",1857,"18-01-2021 04:00","18-01-2021 04:15","26.3"
"260",1858,"18-01-2021 04:15","18-01-2021 04:30","25"
"261",1859,"18-01-2021 04:30","18-01-2021 04:45","25.5"
"262",1860,"18-01-2021 04:45","18-01-2021 05:00","29.1"
"263",1861,"18-01-2021 05:00","18-01-2021 05:15","32.3"
"264",1862,"18-01-2021 05:15","18-01-2021 05:30","42.7"
"265",1863,"18-01-2021 05:30","18-01-2021 05:45","35.1"
